50	50
50.2121	50.0651
50.4243	50.0323
50.6364	49.9014
50.8485	49.6725
51.0607	49.3457
51.2728	48.9208
51.4849	48.3979
51.6971	47.7771
51.9092	47.0582
52.1213	46.2413
52.3335	45.3265
52.5456	44.3136
52.7577	43.2027
52.9699	41.9938
53.182	40.687
53.3941	39.2821
53.6062	37.7792
53.8184	36.1784
54.0305	34.4795
54.2426	32.6826
54.4548	30.7878
54.6669	28.7949
54.879	26.704
55.0912	24.5152
55.3033	22.2283
55.5154	19.8434
55.7276	17.3606
55.9397	14.7797
56.1518	12.1008
56.364	9.32396
56.5761	6.44909
56.7882	3.47622
57.0004	0.405352
57.2125	-2.76352
